ID number,Degree Program,Year,Dualite,Test 1,Test 2,Coding Test,Lab Attendance,Project Midsem,Project compre,Project Total,Team Number,Midsem Project - Overall Idea (6 marks),Midsem Project - Depth of research and work done? (15 marks),Midsem Project - Are students aware of their own code?  (9 marks),Compre Project - Improvement over Midsem (6 marks),Compre Project - Depth of research and work done? (15 marks),Compre Project - Are students aware of their own code?  (9 marks),T1-LR,T1-Probability,T1-MLE,T1-Applied Regression,T1-Naive Bayes,T1-KNN Code,T2-Perceptron,T2-NN,T2-Gradient Descent,T2-CNN,T2-Proof,T2-Conceptual questions,CT-Conceptual,CT-KNN,CT-Naive bayes,CT-MLE,CT-NN,CT-Backprop,CT-Malpractice
2022A3PS0183G,UG,2022,0,18.5,25.5,26,3,27,26,92.75,20,5.5,13,8.5,3,14,9,7.5,1.5,2,0.5,1,6,10,6.5,8,1,,,12,0,5,4,5,0,0
2022A3PS0502G,UG,2022,0,20,0,,0,20,19,68.25,18,3.5,9,7,3,8,8,0,5,3,4,4,4,,,,,,,,,,,,,
2022A3PS0643G,UG,2022,0,0,0,,0,12,20,56,6,2.5,3,6,4.5,8,7,,,,,,,,,,,,,,,,,,,
2022A3PS0672G,UG,2022,0,0,9.5,13,2,28,29,99.75,26,5.5,14,8,6,15,8,,,,,,,0,0.5,8,1,0,0,,,,,,,0
2022A3PS0832G,UG,2022,0,9.5,28,13,2,27,26,92.75,20,5.5,13,8.5,3,14,9,4.5,2,,2,1,,10,7,8,2,,1,12,4,5,4,6,7,1
2022A3PS1062G,UG,2022,0,22.5,16,,0,25,25,87.5,25,5,12,8,4,13,8,7,5.5,6,4,,,7.5,0.5,5,2.5,0,0.5,,,,,,,
2022A3PS1075G,UG,2022,0,31.25,0,20,0,17,18,61.25,4,3,8,6,4,10,4,5,6.25,3,4,5,8,,,,,,,4,10,0,0,6,0,0
2022A3PS1082G,UG,2022,0,20,0,,0,12,20,56,6,2.5,3,6,4.5,8,7,,5,3,4,,8,,,,,,,,,,,,,
2022A3PS1083G,UG,2022,0,0,15,,0,20,19,68.25,18,3.5,9,7,3,8,8,,,,,,,7,,8,,,,,,,,,,
2022A3PS1095G,UG,2022,0,8.5,10,13,0,17,18,61.25,4,3,8,6,4,10,4,5,1.5,2,0,0,0,5,0.5,4.5,0,0,0,0,0,3,2,6,2,0
2022A3PS1172G,UG,2022,0,0,7,0,0,17,22,68.25,30,4.5,7,5,3,12,7,,,,,,,1,5,1,0,0,0,0,0,0,0,0,0,0
2022A3PS1270G,UG,2022,0,20.5,21.5,15,2,24,25,85.75,8,5,12,7,4,13,8,8,4,3,4,0,1.5,10,5,5.5,0,0,1,0,0,5,4,5,1,0
2022A3PS1272G,UG,2022,0,0,9,,2,27,24,89.25,12,5.5,13,8,4,13,7,,,,,,,4,0,5,0,0,0,,,,,,,
2022A3PS1331G,UG,2022,0,0,0,,0,12,20,56,6,2.5,3,6,4.5,8,7,,,,,,,,,,,,,,,,,,,
2022A3TS0831G,UG,2022,0,0,0,,0,27,26,92.75,20,5.5,13,8.5,3,14,9,,,,,,,,,,,,,,,,,,,
2022A3TS1072G,UG,2022,0,0,0,,0,18,24,73.5,28,3,9,6,4,12,8,,,,,,,,,,,,,,,,,,,
2022A3TS1093G,UG,2022,0,0,4.5,,2,15,28,75.25,27,3,7,5,6,14,8,,,,,,,4.5,0,0,0,0,0,,,,,,,
2022A3TS1110G,UG,2022,0,0,19,,0,28,29,99.75,26,5.5,14,8,6,15,8,,,,,,,5.5,5,7.5,0,0,1,,,,,,,
2022A8PS0046G,UG,2022,0,18.5,0,13,2,23,24,82.25,15,4.5,7,5,4,12,8,8,2.5,1,4,3,,,,,,,,12,10,5,5,6,0,1
2022A8PS0133G,UG,2022,0,0,3.5,,0,21,19,69.125,31,4.5,10,6,3,9,7,,,,,,,1,1.5,0,1,0,0,,,,,,,
2022A8PS0281G,UG,2022,0,29.5,18,31,5,24,25,85.75,8,5,12,7,4,13,8,4,5.5,3,4,8,5,4.5,4.5,4.5,2,2,0.5,8,7,4,4,4,4,0
2022A8PS0383G,UG,2022,0,0,12.5,15,0,17,23,69.125,30,4.5,7,5,3,13,7,,,,,,,6.5,4,2,0,0,0,0,7,4,1,2,1,0
2022A8PS0452G,UG,2022,0,22,12,24,2,17,24,71.75,15,4.5,7,5,4,12,8,5.5,3.5,4,4,5,,2.5,1.5,8,0,0,0,12,10,1,1,0,0,0
2022A8PS0661G,UG,2022,0,35,20.5,21,2,26,25,89.25,11,5,13,8,4,13,8,10,7,4,4,3,7,5,7,7.5,,0.5,0.5,8,6,5,2,0,0,0
2022A8PS0671G,UG,2022,0,12,8.5,,0,22,24,80.5,17,2.5,12,7,3,13,8,4,2,,4,,2,3,1.5,3.5,0,0,0.5,,,,,,,
2022A8PS0881G,UG,2022,0,8,9.5,,0,22,16,66.5,13,4.5,11,6,3,8,5,,2,3,3,,,9,0,0,0.5,0,0,,,,,,,
2022A8PS1140G,UG,2022,0,0,12,13,0,12,10,38.5,32,2,8,2,1,5,4,,,,,,,7,0.5,4.5,0,0,0,12,10,5,0,6,7,1
2022A8PS1183G,UG,2022,0,8.5,14.5,4,8,21,19,69.125,31,4.5,10,6,3,9,7,3,1.5,4,,,,1.5,5,7,0,0,1,4,0,0,0,0,0,0
2022A8PS1357G,UG,2022,0,0,12.5,23,0,21,19,69.125,31,4.5,10,6,3,9,7,,,,,,,6,5.5,0,0,0,1,4,6,4,3,6,0,0
2022A8PS1439G,UG,2022,0,0,11,4,0,12,10,38.5,32,2,8,2,1,5,4,,,,,,,2,1,8,,,,0,0,4,0,0,0,0
2022A8TS0613G,UG,2022,0,3,1,,0,17,18,61.25,30,4.5,7,5,3,8,7,0,3,0,0,0,0,1,0,0,0,0,0,,,,,,,
2022A8TS1117G,UG,2022,0,22.5,19,19,0,26,25,89.25,11,5,13,8,4,13,8,8,5,0,2.5,7,0,8.5,4,6.5,0,0,0,0,0,5,2,6,6,0
2022A8TS1134G,UG,2022,0,16.5,13,,0,18,24,73.5,28,3,9,6,4,12,8,,4.5,2,4,4,2,4.5,0.5,8,0,0,0,,,,,,,
2022AAPS0011G,UG,2022,0,17,17.5,6,0,20,19,68.25,18,3.5,9,7,3,8,8,8,4,1,4,,,10,3,,3.5,,1,0,0,0,1,5,0,0
2022AAPS0410G,UG,2022,0,5,1.5,13,0,22,24,80.5,17,2.5,12,7,3,13,8,0,1,0,0,0,4,0,0,0.5,0,1,0,12,10,5,5,6,7,1
2022AAPS0627G,UG,2022,0,16,17,13,3,15,28,75.25,27,3,7,5,6,14,8,3,6,3,4,0,0,6,2,9,,,,0,10,5,5,6,7,1
2022AAPS1144G,UG,2022,0,14,19,6,0,26,25,89.25,11,5,13,8,4,13,8,6.5,3.5,2,2,0,0,7,5,5,1,1,,0,0,3,0,3,0,0
2022AATS0533G,UG,2022,0,17.5,9,,10,20,17,64.75,7,4,10,6,2,9,6,7.5,1,,2,,7,0,0,8,0.5,0.5,0,,,,,,,
2022AATS0659G,UG,2022,0,6,0,,0,12,10,38.5,32,2,8,2,1,5,4,3,1,2,0,0,0,,,,,,,,,,,,,
2022B1A31537G,UG,2022,1,28.5,4,9,3,27,28,96.25,21,5.5,13,8.5,5,14,9,8.5,7,3,4,5,1,0,3.5,0.5,0,0,0,0,0,4,1,4,0,0
2022B1A81363G,UG,2022,1,10,4.5,45,10,15,18,57.75,3,4,7,4,4,9,5,7.5,2,0,0.5,,,1.5,0.5,2,0.5,0,0,12,10,5,5,6,7,0
2022B1A81375G,UG,2022,1,17.5,2.5,5,2,20,18,66.5,16,3.5,9,7,4,9,5,1.5,2,2,2,3,7,1.5,0,0,0.5,0,0.5,0,2,3,0,0,0,0
2022B1A81379G,UG,2022,1,19,10,22,2,22,16,66.5,13,4.5,11,6,3,8,5,3,5,1,4,,6,0.5,0,8,0,1,0.5,1,4,5,2,5,5,0
2022B1AA0898G,UG,2022,1,0,5,26,3,15,28,75.25,27,3,7,5,6,14,8,,,,,,,5,0,0,0,0,0,5,10,5,0,6,0,0
2022B1AA1378G,UG,2022,1,20.5,8,17,5,20,18,66.5,16,3.5,9,7,4,9,5,9,3.5,1,4,3,0,0,3.5,3.5,1,0,0,2,2,5,5,3,0,0
2022B2A30623G,UG,2022,1,31,23.5,43,15,15,18,57.75,3,4,7,4,4,9,5,10,6.5,0.5,3,7,4,5.5,6,8,1.5,0,2.5,12,10,5,5,4,7,0
2022B2A31410G,UG,2022,1,14.5,17.5,17,0,18,23,71.75,19,4,8,6,5,11,7,7,1.5,4,,,2,3.5,1.5,8,1.5,1,2,1,4,4,3,5,0,0
2022B2A81416G,UG,2022,1,11.75,21.5,12,5,20,26,80.5,23,4,10,6,5,13,8,,3.5,3.25,3,,2,6,5.5,8,2,,,2,10,0,0,0,0,0
2022B2A81502G,UG,2022,1,13.5,0,13,0,28,22,87.5,9,5.5,14,8,0,14,8,7.5,4,,2,,,,,,,,,12,10,5,5,6,7,1
2022B2AA1404G,UG,2022,1,13.5,22.5,14,0,18,14,56,22,3.5,9,5,3,7,4,8,1.5,0,4,0,0,10,0.5,7,2,2,1,0,0,3,3,5,3,0
2022B2AA1408G,UG,2022,1,25.5,23,9,0,18,14,56,22,3.5,9,5,3,7,4,5.5,5.5,3.5,4,0,7,10,5,8,,,,0,1,0,3,2,3,0
2022B3A30026G,UG,2022,1,31.5,0,28,2,25,25,87.5,25,5,12,8,4,13,8,5,5.5,3,4,10,4,,,,,,,10,8,5,5,0,0,0
2022B3A30044G,UG,2022,1,7,23.5,22,2,28,22,87.5,9,5.5,14,8,0,14,8,0,3,0,4,0,0,6.5,8,8,,,1,12,10,0,0,0,0,0
2022B3A31173G,UG,2022,1,9.75,11,16,0,18,23,71.75,19,4,8,6,5,11,7,2,1.75,2,4,,,4,1.5,5.5,0,0,0,0,0,4,2,4,6,0
2022B3A31189G,UG,2022,1,17,9,,2,28,22,87.5,9,5.5,14,8,0,14,8,9,5.5,1,1,0.5,0,1.5,0.5,7,0,0,0,,,,,,,
2022B3AA0468G,UG,2022,1,9,10,7,7,20,17,64.75,7,4,10,6,2,9,6,4,5,0,0,0,0,2.5,0,7,0.5,0,0,0,0,0,1,5,1,0
2022B3AA0587G,UG,2022,1,0,20,,0,25,25,87.5,25,5,12,8,4,13,8,,,,,,,8,5,7,0,0,0,,,,,,,
2022B3AA0635G,UG,2022,1,32.5,16.5,16,8,17,24,71.75,15,4.5,7,5,4,12,8,9.5,6,3,4,8,2,2.5,5,7,2,0,0,0,0,4,2,6,4,0
2022B3AA0802G,UG,2022,1,23,0,2,3,20,25,78.75,23,4,10,6,5,13,7,9,2,3,0,9,0,,,,,,,0,0,0,0,2,0,0
2022B3AA1133G,UG,2022,1,0,16,12,13,20,17,64.75,7,4,10,6,2,9,6,,,,,,,9.5,0,6.5,0,0,0,0,0,0,3,6,3,0
2022B4A30118G,UG,2022,1,0,0,19,0,22,16,66.5,13,4.5,11,6,3,8,5,,,,,,,,,,,,,6,0,4,3,6,0,0
2022B4A30477G,UG,2022,1,28,4,18,10,27,28,96.25,21,5.5,13,8.5,5,14,9,8.5,4.5,4,3,8,,0,3,1,0,0,0,11,0,4,0,3,0,0
2022B4A80969G,UG,2022,1,5,12.5,,3,22,24,80.5,17,2.5,12,7,3,13,8,0,2,0,3,0,0,3,1,8,0,0.5,0,,,,,,,
2022B4A81044G,UG,2022,1,0,7,9,0,18,23,71.75,19,4,8,6,5,11,7,,,,,,,0.5,0.5,6,0,0,0,0,0,4,5,0,0,0
2022B4AA0706G,UG,2022,1,24.75,16.5,8,12,27,28,96.25,21,5.5,13,8.5,5,14,9,7,4.75,3,4,6,0,2.5,5,7,2,0,0,0,0,3,2,3,,0
2022B4AA0710G,UG,2022,1,9.5,0,,0,18,24,73.5,28,3,9,6,4,12,8,3,3,1.5,1,1,0,,,,,,,,,,,,,
2022B4AA0950G,UG,2022,1,23,0,34,7,20,18,66.5,16,3.5,9,7,4,9,5,7.5,1.5,2,3,5,4,,,,,,,12,10,5,3,4,0,0
2022B4AA1006G,UG,2022,1,27.5,12.5,10,12,19,18,64.75,3,4,7,4,4,9,5,6.5,5.5,3,3.5,4,5,3,4,4,0.5,0,1,2,0,5,2,1,0,0
2022B5A81167G,UG,2022,1,0,14.5,,0,28,29,99.75,26,5.5,14,8,6,15,8,,,,,,,0.5,6,8,0,0,0,,,,,,,
2022B5A81544G,UG,2022,1,20.5,0,3,3,20,25,78.75,23,4,10,6,5,13,7,8.5,1,1,2,2,6,,,,,,,1,0,1,0,1,0,0
2023A3PS0183G,UG,2023,0,0,13,6,0,17,18,61.25,4,3,8,6,4,10,4,,,,,,,3,,8,,,2,2,4,0,0,0,0,0
2023A3PS0194G,UG,2023,0,28,13,14,3,27,21,84,29,5.5,13,8,4,12,5,8,7,3,4,0,6,3.5,4.5,5,0,0,0,1,6,0,3,4,0,0
2023A8PS0828G,UG,2023,0,3.25,12,20,2,27,21,84,29,5.5,13,8,4,12,5,2,1.25,,,,,1.5,6,3.5,0,0,1,3,4,3,4,6,0,0
2023A8PS0862G,UG,2023,0,0,6,,0,20,22,72.625,33,4,10,6,1.5,13,7,,,,,,,0,0.5,5,0,0,0.5,,,,,,,
2023AAPS0025G,UG,2023,0,19,19.5,11,5,20,22,72.625,33,4,10,6,1.5,13,7,,6,3,,10,,3.5,7,8,1,,,3,0,5,2,1,0,0
2023AAPS0150G,UG,2023,0,0,20.5,13,3,27,24,89.25,12,5.5,13,8,4,13,7,,,,,,,6.5,6,7.5,0,0,0.5,2,0,3,4,3,1,0
2023AAPS0590G,UG,2023,0,0,13,,0,27,21,84,29,5.5,13,8,4,12,5,,,,,,,6.5,0.5,6,0,0,0,,,,,,,
2023AAPS0607G,UG,2023,0,4,0.5,16,0,27,24,89.25,12,5.5,13,8,4,13,7,2,2,0,0,0,0,0,0,0,0.5,0,0,12,0,0,4,0,0,0
2023AAPS0631G,UG,2023,0,29.5,22.5,4,12,25,21,80.5,10,5,12,8,3,11,7,8,4.5,3,4,10,,10,5.5,7,,,,4,0,0,0,0,0,0
2023AAPS0632G,UG,2023,0,24.5,24.5,15,5,25,21,80.5,10,5,12,8,3,11,7,8.5,6,3,4,3,,10,5.5,8,1,,,3,0,5,2,4,1,0
2025H1230102G,HD,2025,0,21,25,13,8,13,13,45.5,5,2,7,4,1,4,8,4.5,3.5,3,4,1,5,5,8,8,1,,3,12,10,5,5,6,7,1
2025H1230114G,HD,2025,0,14.5,22,39,8,13,13,45.5,5,2,7,4,1,4,8,9,0.5,1,4,,,10,5.5,1,3,1,1.5,12,6,5,4,6,6,0
2025PHXP0035G,PhD,2025,0,16,25.5,17,12,13,15,49,14,5,5,3,1,8,6,0,4,0,3.5,8,0.5,5,9,5,3,2,1.5,12,0,0,3,2,0,0
2025PHXP0407G,PhD,2025,0,5,1.5,2,13,17,18,61.25,14,5,7,5,1,10,7,4,1,,,,,0,0,0,1,0,0.5,1,0,0,1,0,0,0
2025PHXP0410G,PhD,2025,0,4.25,2,4,13,13,15,49,14,5,5,3,1,8,6,1,2.25,,,,1,0.5,0.5,1,0,0,0,2,0,0,2,0,0,0